web_scraper_order,web_scraper_start_url,title,data,data2,data3,data4,data5,image,image2,image3,image4,image5,image6
"1774838780-1","https://listado.mercadolibre.com.ve/_CustId_2218556326?item_id=MLV853564702&category_id=MLV5072&seller_id=2218556326&client=recoview-selleritems&recos_listing=true#origin=vip&component=seller&typeSeller=classic","Case Blanco Deepcool Mini -itx Ch160","117","","US$","Disponible en 2 colores","","","https://http2.mlstatic.com/D_Q_NP_2X_972363-MLV85984543165_062025-E.webp","","","",""
"1774838780-2","https://listado.mercadolibre.com.ve/_CustId_2218556326?item_id=MLV853564702&category_id=MLV5072&seller_id=2218556326&client=recoview-selleritems&recos_listing=true#origin=vip&component=seller&typeSeller=classic","Monitor Aoc Portatil E1659fwu Ultra Slim 15.6","99","99","US$","",",","","https://http2.mlstatic.com/D_Q_NP_2X_887215-MLV86670768301_062025-E.webp","","","",""
"1774838780-3","https://listado.mercadolibre.com.ve/_CustId_2218556326?item_id=MLV853564702&category_id=MLV5072&seller_id=2218556326&client=recoview-selleritems&recos_listing=true#origin=vip&component=seller&typeSeller=classic","Case Gaming Redragon Negro Mid Tower Ca-cg623","164","","US$","","","","https://http2.mlstatic.com/D_Q_NP_2X_837907-MLV85991670603_062025-E.webp","","","",""
"1774838780-4","https://listado.mercadolibre.com.ve/_CustId_2218556326?item_id=MLV853564702&category_id=MLV5072&seller_id=2218556326&client=recoview-selleritems&recos_listing=true#origin=vip&component=seller&typeSeller=classic","Volante Y Pedalera Marvogt-903 Onaga 30 Pc/ps3/ps4/xbox","127","","US$","","","https://http2.mlstatic.com/D_Q_NP_2X_636317-MLV86141776549_062025-E.webp","https://http2.mlstatic.com/D_Q_NP_2X_871634-MLV86141410055_062025-E.webp","https://http2.mlstatic.com/D_Q_NP_2X_871634-MLV86141410055_062025-E.webp","https://http2.mlstatic.com/D_Q_NP_2X_645162-MLV85828749842_062025-E.webp","https://http2.mlstatic.com/D_Q_NP_2X_984859-MLV86141717009_062025-E.webp","https://http2.mlstatic.com/D_Q_NP_2X_923206-MLV86141836119_062025-E.webp"
"1774838780-5","https://listado.mercadolibre.com.ve/_CustId_2218556326?item_id=MLV853564702&category_id=MLV5072&seller_id=2218556326&client=recoview-selleritems&recos_listing=true#origin=vip&component=seller&typeSeller=classic","Case Leadertech Gaming Warmachine Negro Con Fans Incluidos","122","50","US$","Disponible en 2 colores",",","","https://http2.mlstatic.com/D_Q_NP_2X_791755-MLV85679219832_062025-E.webp","","","",""
"1774838780-6","https://listado.mercadolibre.com.ve/_CustId_2218556326?item_id=MLV853564702&category_id=MLV5072&seller_id=2218556326&client=recoview-selleritems&recos_listing=true#origin=vip&component=seller&typeSeller=classic","Cable Utp Tplink Ec6-100 Cat 6 Indoor 100mts","99","99","US$","",",","","https://http2.mlstatic.com/D_Q_NP_2X_771327-MLV88316293921_072025-E.webp","","","",""
"1774838780-7","https://listado.mercadolibre.com.ve/_CustId_2218556326?item_id=MLV853564702&category_id=MLV5072&seller_id=2218556326&client=recoview-selleritems&recos_listing=true#origin=vip&component=seller&typeSeller=classic","Disco Duro Solido 256gb Addlink  2.5 Sata 6gb/s  Sata Iii","109","","US$","","","","https://http2.mlstatic.com/D_Q_NP_2X_966162-MLV85726535836_062025-E.webp","https://http2.mlstatic.com/D_Q_NP_2X_966162-MLV85726535836_062025-E.webp","https://http2.mlstatic.com/D_Q_NP_2X_607067-MLV85726142878_062025-E.webp","https://http2.mlstatic.com/D_Q_NP_2X_882407-MLV86037958709_062025-E.webp",""
"1774838780-8","https://listado.mercadolibre.com.ve/_CustId_2218556326?item_id=MLV853564702&category_id=MLV5072&seller_id=2218556326&client=recoview-selleritems&recos_listing=true#origin=vip&component=seller&typeSeller=classic","Impresora Epson L8180 Multifuncional 6 Colores Tabloide A3+","1.437","","US$","","","","https://http2.mlstatic.com/D_Q_NP_2X_789540-MLV98263257855_112025-E.webp","https://http2.mlstatic.com/D_Q_NP_2X_789540-MLV98263257855_112025-E.webp","https://http2.mlstatic.com/D_Q_NP_2X_964514-MLV98123840255_112025-E.webp","https://http2.mlstatic.com/D_Q_NP_2X_664050-MLV97659040352_112025-E.webp","https://http2.mlstatic.com/D_Q_NP_2X_626181-MLV97658424562_112025-E.webp"
"1774838780-9","https://listado.mercadolibre.com.ve/_CustId_2218556326?item_id=MLV853564702&category_id=MLV5072&seller_id=2218556326&client=recoview-selleritems&recos_listing=true#origin=vip&component=seller&typeSeller=classic","Switch Red 10 Puertos Gigabit Jetstream 8 Poe Sg2210p Tplink","207","94","US$","",",","","https://http2.mlstatic.com/D_Q_NP_2X_676153-MLV89143151717_082025-E.webp","","","",""
"1774838780-10","https://listado.mercadolibre.com.ve/_CustId_2218556326?item_id=MLV853564702&category_id=MLV5072&seller_id=2218556326&client=recoview-selleritems&recos_listing=true#origin=vip&component=seller&typeSeller=classic","Corneta Portatil Moonki Malibú - Parlante Bluetooth 52w","109","","US$","","","","https://http2.mlstatic.com/D_Q_NP_2X_623341-MLV81929116200_022025-E.webp","","","",""
